id,state,sex,population,wa,ba,ia,aa,na,tom
1,Alabama,Female,2499410,1717262,690562,16743,34328,2248,38267
1,Alabama,Male,2349967,1660343,602638,17029,30305,2841,36811
2,Alaska,Female,349436,229691,12187,53703,23360,4533,25962
2,Alaska,Male,387296,262831,16633,55253,21321,4763,26495
4,Arizona,Female,3387637,2837614,152564,180880,117737,8238,90604
4,Arizona,Male,3343847,2798708,165638,176792,103610,9502,89597
5,Arkansas,Female,1509053,1195389,242647,14363,23295,4214,29145
5,Arkansas,Male,1457316,1168743,220713,14326,20898,4419,28217
6,California,Female,19533596,14167636,1285558,317088,2939290,97434,726590
6,California,Male,19268904,14228194,1255809,328221,2646894,96654,713132
8,Colorado,Female,2664707,2336872,112107,41640,91442,4884,77762
8,Colorado,Male,2691159,2362430,126613,43306,77018,5187,76605
9,Connecticut,Female,1842128,1491342,215768,8969,84107,1752,40190
9,Connecticut,Male,1754549,1428404,198046,9474,77663,2110,38852
10,Delaware,Female,482925,339029,109942,3069,18257,420,12208
10,Delaware,Male,452689,323147,98139,3119,16836,443,11005
11,District of Columbia,Female,346293,143156,175715,1795,15461,468,9698
11,District of Columbia,Male,312600,144285,147112,1902,11019,521,7761
12,Florida,Female,10170011,7880137,1732031,47333,298037,10750,201723
12,Florida,Male,9723286,7605737,1605128,51870,255783,11228,193540
13,Georgia,Female,5170356,3147882,1690923,23884,200199,5490,101978
13,Georgia,Male,4926987,3118284,1492861,27104,186982,6405,95351
15,Hawaii,Female,701462,169031,13313,2825,285068,69441,161784
15,Hawaii,Male,718099,209292,21551,3531,247303,71845,164577
16,Idaho,Female,815968,763211,5794,13946,12624,1542,18851
16,Idaho,Male,818496,765533,7713,14206,10556,1760,18728
17,Illinois,Female,6559694,5040841,1003990,36341,355113,3996,119413
17,Illinois,Male,6320886,4943934,888265,38952,329602,4197,115936
18,Indiana,Female,3347411,2875036,327003,12754,67344,2029,63245
18,Indiana,Male,3249444,2803411,303751,13600,65062,2064,61556
19,Iowa,Female,1564081,1444530,49942,7454,34298,1425,26432
19,Iowa,Male,1543045,1416131,56131,7729,34764,1528,26762
20,Kansas,Female,1456666,1267153,88046,17164,41808,1479,41016
20,Kansas,Male,1447355,1254779,93500,17577,39344,1749,40406
21,Kentucky,Female,2240299,1978677,182567,6115,32033,1698,39209
21,Kentucky,Male,2173158,1916786,180672,6659,28856,1995,38190
22,Louisiana,Female,2375737,1485945,792113,17534,42405,1438,36302
22,Louisiana,Male,2273939,1459924,718563,17742,40776,1558,35376
23,Maine,Female,678818,645711,8443,4646,8917,233,10868
23,Maine,Male,651271,618153,10706,4486,6841,236,10849
24,Maryland,Female,3079989,1815242,964888,16052,199741,3034,81032
24,Maryland,Male,2896418,1774313,844406,17361,180427,3285,76626
25,Massachusetts,Female,3474584,2869091,288373,15948,221781,3342,76049
25,Massachusetts,Male,3270824,2705087,269699,16444,203524,3337,72733
26,Michigan,Female,5041414,4002982,740543,35418,146010,1966,114495
26,Michigan,Male,4868463,3912708,669915,35612,137958,1951,110319
